ID	Freshness
E1	1.7975
E2	0.52
E3	1.9175
E4	0.13
E5	2.01
E6	0.51
E7	2.5375
E8	0.11
E9	2.03
E10	0.08
E11	2.3875
E12	2.38
E13	0.09
E14	2.305
E15	0.64
E16	2.8225
E17	2.82
E18	0.14
E19	2.455
E20	0.47
E21	2.1825
E22	1.8175
E23	0.685
E24	0.075
E25	1.3125
E26	1.655
E27	0.08
E28	1.41
E29	2.1875
E30	2.5425
E31	2.0625
E32	0.7825
E33	0.08
E34	1.4925
E35	1.655
E36	0.3875
E37	2.0625
E38	2.1775
E39	1.2
E40	2.4125
E41	1.9975
E42	0.435
E43	0.066666667
E44	1.47
E45	1.645
E46	0.17
E47	2.2025
E48	2.1225
E49	2.0975
E50	3.7
E51	1.08
E52	1.1
E53	1.55
E54	1.7425
E55	1.05
E56	0.095
E57	2.1875
E58	1.2375
E59	0.095
E60	1.57
E61	1.676666667
E62	2.2275
E63	1.9025
E64	0.6675
E65	0.0525
E66	1.285
E67	1.645
E68	0.1175
E69	2.175
E70	2.075
E71	2.01
E72	2.2925
E73	1.9875
E74	1.01
E75	0.0825
E76	1.4475
E77	1.835
E78	0.26
E79	2.295
E80	2.1225
E81	2.0575
E82	1.9825
E83	0.8625
E84	1.9825
E85	0.075
E86	2.265
E87	0.12
E88	1.515
E89	1.515
E90	0.1825
E91	0.0625
E92	1.895
E93	0.26
