ID	foodstuff	Type	Treatment
E1	mix	refined	room
E2	mix	refined	heat
E3	mix	refined	room
E4	mix	refined	heat
E5	mix	refined	room
E6	mix	refined	heat
E7	mix	refined	room
E8	mix	refined	heat
E9	mix	refined	room
E10	mix	refined	heat
E11	product_1	refined	room
E12	product_1	refined	room
E13	product_1	refined	heat
E14	product_1	refined	room
E15	product_1	refined	heat
E16	product_2	refined	room
E17	product_2	refined	room
E18	product_2	refined	heat
E19	product_2	refined	room
E20	product_2	refined	heat
E21	product_1	refined	room
E22	product_1	refined	heat
E23	product_1	refined	heat
E24	product_1	refined	heat
E25	product_1	refined	heat
E26	product_1	refined	light
E27	product_1	refined	heat
E28	product_1	refined	heat
E29	product_1	refined	heat
E30	product_1	refined	room
E31	product_1	refined	heat
E32	product_1	refined	heat
E33	product_1	refined	heat
E34	product_1	refined	heat
E35	product_1	refined	light
E36	product_1	refined	heat
E37	product_1	refined	heat
E38	product_1	refined	heat
E39	product_1	refined	room
E40	product_1	refined	room
E41	product_1	refined	heat
E42	product_1	refined	heat
E43	product_1	refined	heat
E44	product_1	refined	heat
E45	product_1	refined	light
E46	product_1	refined	heat
E47	product_1	refined	heat
E48	product_1	refined	heat
E49	product_1	refined	heat
E50	product_3	raw	room
E51	product_3	raw	heat
E52	product_3	raw	time
E53	product_3	raw	time
E54	product_1	raw	room
E55	product_1	raw	heat
E56	product_1	raw	heat
E57	product_1	raw	room
E58	product_1	raw	heat
E59	product_1	raw	heat
E60	product_1	refined	room
E61	product_1	refined	room
E62	product_1	refined	room
E63	product_1	refined	heat
E64	product_1	refined	heat
E65	product_1	refined	heat
E66	product_1	refined	heat
E67	product_1	refined	light
E68	product_1	refined	heat
E69	product_1	refined	heat
E70	product_1	refined	heat
E71	product_1	refined	heat
E72	product_1	refined	room
E73	product_1	refined	heat
E74	product_1	refined	heat
E75	product_1	refined	heat
E76	product_1	refined	heat
E77	product_1	refined	light
E78	product_1	refined	heat
E79	product_1	refined	heat
E80	product_1	refined	heat
E81	product_1	refined	heat
E82	product_4	refined	room
E83	product_4	refined	heat
E84	product_4	refined	room
E85	product_4	refined	heat
E86	product_4	refined	room
E87	product_4	refined	heat
E88	product_5	refined	room
E89	product_5	refined	room
E90	product_5	refined	heat
E91	product_5	refined	heat
E92	product_5	refined	room
E93	product_5	refined	heat
