ECHID	Instrument	Foodstuff	Drying	Supplier	REP	PosRep
13	Ins_1	fs_1	Cold	La	1	1
13	Ins_1	fs_1	Cold	La	1	2
13	Ins_1	fs_1	Cold	La	1	3
14	Ins_1	fs_1	Cold	La	2	1
14	Ins_1	fs_1	Cold	La	2	2
14	Ins_1	fs_1	Cold	La	2	3
30	Ins_2	fs_1	Cold	La	2	1
30	Ins_2	fs_1	Cold	La	2	2
30	Ins_2	fs_1	Cold	La	2	3
15	Ins_1	fs_1	Cold	La	3	1
15	Ins_1	fs_1	Cold	La	3	2
15	Ins_1	fs_1	Cold	La	3	3
30	Ins_2	fs_1	Cold	La	2	1
30	Ins_2	fs_1	Cold	La	2	2
30	Ins_2	fs_1	Cold	La	2	3
16	Ins_1	fs_1	Cold	La	4	1
16	Ins_1	fs_1	Cold	La	4	2
16	Ins_1	fs_1	Cold	La	4	3
32	Ins_2	fs_1	Cold	La	4	1
32	Ins_2	fs_1	Cold	La	4	2
32	Ins_2	fs_1	Cold	La	4	3
41	Ins_1	fs_2	Cold	S46	1	1
41	Ins_1	fs_2	Cold	S46	1	2
41	Ins_1	fs_2	Cold	S46	1	3
43	Ins_1	fs_2	Cold	S46	3	1
43	Ins_1	fs_2	Cold	S46	3	2
43	Ins_1	fs_2	Cold	S46	3	3
44	Ins_1	fs_2	Cold	S46	4	1
44	Ins_1	fs_2	Cold	S46	4	2
44	Ins_1	fs_2	Cold	S46	4	3
57	Ins_2	fs_2	Cold	S46	1	1
57	Ins_2	fs_2	Cold	S46	1	2
57	Ins_2	fs_2	Cold	S46	1	3
58	Ins_2	fs_2	Cold	S46	2	1
58	Ins_2	fs_2	Cold	S46	2	2
58	Ins_2	fs_2	Cold	S46	2	3
59	Ins_2	fs_2	Cold	S46	3	1
59	Ins_2	fs_2	Cold	S46	3	2
59	Ins_2	fs_2	Cold	S46	3	3
60	Ins_2	fs_2	Cold	S46	4	1
60	Ins_2	fs_2	Cold	S46	4	2
60	Ins_2	fs_2	Cold	S46	4	3
45	Ins_1	fs_2	Cold	S47	1	1
45	Ins_1	fs_2	Cold	S47	1	2
45	Ins_1	fs_2	Cold	S47	1	3
46	Ins_1	fs_2	Cold	S47	2	1
46	Ins_1	fs_2	Cold	S47	2	2
46	Ins_1	fs_2	Cold	S47	2	3
47	Ins_1	fs_2	Cold	S47	3	1
47	Ins_1	fs_2	Cold	S47	3	2
47	Ins_1	fs_2	Cold	S47	3	3
48	Ins_1	fs_2	Cold	S47	4	1
48	Ins_1	fs_2	Cold	S47	4	2
48	Ins_1	fs_2	Cold	S47	4	3
61	Ins_2	fs_2	Cold	S47	1	1
61	Ins_2	fs_2	Cold	S47	1	2
61	Ins_2	fs_2	Cold	S47	1	3
62	Ins_2	fs_2	Cold	S47	2	1
62	Ins_2	fs_2	Cold	S47	2	2
62	Ins_2	fs_2	Cold	S47	2	3
63	Ins_2	fs_2	Cold	S47	3	1
63	Ins_2	fs_2	Cold	S47	3	2
63	Ins_2	fs_2	Cold	S47	3	3
64	Ins_2	fs_2	Cold	S47	4	1
64	Ins_2	fs_2	Cold	S47	4	2
64	Ins_2	fs_2	Cold	S47	4	3
1	Ins_1	fs_1	Com	PC_1	1	1
1	Ins_1	fs_1	Com	PC_1	1	2
1	Ins_1	fs_1	Com	PC_1	1	3
2	Ins_1	fs_1	Com	PC_1	2	1
2	Ins_1	fs_1	Com	PC_1	2	2
2	Ins_1	fs_1	Com	PC_1	2	3
3	Ins_1	fs_1	Com	PC_1	3	1
3	Ins_1	fs_1	Com	PC_1	3	2
3	Ins_1	fs_1	Com	PC_1	3	3
4	Ins_1	fs_1	Com	PC_1	4	1
4	Ins_1	fs_1	Com	PC_1	4	2
4	Ins_1	fs_1	Com	PC_1	4	3
17	Ins_2	fs_1	Com	PC_1	1	1
17	Ins_2	fs_1	Com	PC_1	1	2
17	Ins_2	fs_1	Com	PC_1	1	3
18	Ins_2	fs_1	Com	PC_1	2	1
18	Ins_2	fs_1	Com	PC_1	2	2
18	Ins_2	fs_1	Com	PC_1	2	3
19	Ins_2	fs_1	Com	PC_1	3	1
19	Ins_2	fs_1	Com	PC_1	3	2
19	Ins_2	fs_1	Com	PC_1	3	3
20	Ins_2	fs_1	Com	PC_1	4	1
20	Ins_2	fs_1	Com	PC_1	4	2
20	Ins_2	fs_1	Com	PC_1	4	3
33	Ins_1	fs_2	Ref	S46	1	1
33	Ins_1	fs_2	Ref	S46	1	2
33	Ins_1	fs_2	Ref	S46	1	3
34	Ins_1	fs_2	Ref	S46	2	1
34	Ins_1	fs_2	Ref	S46	2	2
34	Ins_1	fs_2	Ref	S46	2	3
35	Ins_1	fs_2	Ref	S46	3	1
35	Ins_1	fs_2	Ref	S46	3	2
35	Ins_1	fs_2	Ref	S46	3	3
36	Ins_1	fs_2	Ref	S46	4	1
36	Ins_1	fs_2	Ref	S46	4	2
36	Ins_1	fs_2	Ref	S46	4	3
49	Ins_2	fs_2	Ref	S46	1	1
49	Ins_2	fs_2	Ref	S46	1	2
49	Ins_2	fs_2	Ref	S46	1	3
50	Ins_2	fs_2	Ref	S46	2	1
50	Ins_2	fs_2	Ref	S46	2	2
50	Ins_2	fs_2	Ref	S46	2	3
51	Ins_2	fs_2	Ref	S46	3	1
51	Ins_2	fs_2	Ref	S46	3	2
51	Ins_2	fs_2	Ref	S46	3	3
52	Ins_2	fs_2	Ref	S46	4	1
52	Ins_2	fs_2	Ref	S46	4	2
52	Ins_2	fs_2	Ref	S46	4	3
9	Ins_1	fs_1	Ref	Cy	1	1
9	Ins_1	fs_1	Ref	Cy	1	2
9	Ins_1	fs_1	Ref	Cy	1	3
10	Ins_1	fs_1	Ref	Cy	2	1
10	Ins_1	fs_1	Ref	Cy	2	2
10	Ins_1	fs_1	Ref	Cy	2	3
11	Ins_1	fs_1	Ref	Cy	3	1
11	Ins_1	fs_1	Ref	Cy	3	2
11	Ins_1	fs_1	Ref	Cy	3	3
12	Ins_1	fs_1	Ref	Cy	4	1
12	Ins_1	fs_1	Ref	Cy	4	2
12	Ins_1	fs_1	Ref	Cy	4	3
25	Ins_2	fs_1	Ref	Cy	1	1
25	Ins_2	fs_1	Ref	Cy	1	2
25	Ins_2	fs_1	Ref	Cy	1	3
26	Ins_2	fs_1	Ref	Cy	2	1
26	Ins_2	fs_1	Ref	Cy	2	2
26	Ins_2	fs_1	Ref	Cy	2	3
27	Ins_2	fs_1	Ref	Cy	3	1
27	Ins_2	fs_1	Ref	Cy	3	2
27	Ins_2	fs_1	Ref	Cy	3	3
28	Ins_2	fs_1	Ref	Cy	4	1
28	Ins_2	fs_1	Ref	Cy	4	2
28	Ins_2	fs_1	Ref	Cy	4	3
37	Ins_1	fs_2	Ref	S47	1	1
37	Ins_1	fs_2	Ref	S47	1	2
